Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Resolve Issues and Impediments,SS-285,10303,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to resolve issues and impediments.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Daily,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30040,,,,,,,,,,,,,,PM-RID-ISS,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to resolve issues and impediments.,0|i000bz:,,"Issue register, corrective-action evidence and closure verification.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,Resolved or escalated issue records with verified outcomes.,Medium,"Includes the executable item: Triage, resolve and verify project issues.",,,,,,,,,,,,PM-RID-ISS-02,,,,10279,SS-261,Issue and Impediment Management,To Do,23/Jun/26 12:28 AM
Establish Dependency Network,SS-286,10304,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish dependency network.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30041,,,,,,,,,,,,,,PM-RID-DEP,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish dependency network.,0|i000c7:,,"Dependency rules, Jira links and initial dependency review.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented dependency method and mapped initial dependency network.,Medium,Includes the executable item: Define dependency rules and map initial dependencies.,,,,,,,,,,,,PM-RID-DEP-01,,,,10280,SS-262,Dependency Management,To Do,23/Jun/26 12:28 AM
Monitor Dependencies,SS-287,10305,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to monitor dependencies.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Daily,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30042,,,,,,,,,,,,,,PM-RID-DEP,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to monitor dependencies.,0|i000cf:,,"Updated Jira links, blocker notes and corresponding schedule or task changes.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A current dependency network with visible blockers and updated dependent work.,Medium,Includes the executable item: Review blockers and update dependent work.,,,,,,,,,,,,PM-RID-DEP-02,,,,10280,SS-262,Dependency Management,To Do,23/Jun/26 12:28 AM
Establish Measurement System,SS-288,10306,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish measurement system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30043,,,,,,,,,,,,,,PM-PER-MON,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish measurement system.,0|i000cn:,,"Indicator definitions, configured dashboard and reviewed sample reporting period.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A concise measurement framework and configured Jira dashboards or views.,Low,Includes the executable item: Define indicators and configure dashboards.,,,,,,,,,,,,PM-PER-MON-01,,,,10281,SS-263,Progress Monitoring and Forecasting,To Do,23/Jun/26 12:28 AM
Review Progress and Forecast,SS-289,10307,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to review progress and forecast.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30044,,,,,,,,,,,,,,PM-PER-MON,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to review progress and forecast.,0|i000cv:,,"Weekly review record, updated forecast and tracked corrective actions.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,"A current progress assessment, forecast and agreed corrective actions.",Medium,Includes the executable item: Conduct periodic project reviews and update forecasts.,,,,,,,,,,,,PM-PER-MON-02,,,,10281,SS-263,Progress Monitoring and Forecasting,To Do,23/Jun/26 12:28 AM
Establish Assurance Rules,SS-290,10308,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish assurance rules.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30045,,,,,,,,,,,,,,PM-PER-ASS,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish assurance rules.,0|i000d3:,,"Assurance policy and reviewed examples for task, deliverable and milestone acceptance.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented assurance and acceptance policy.,Low,Includes the executable item: Define evidence and acceptance requirements.,,,,,,,,,,,,PM-PER-ASS-01,,,,10282,SS-264,Delivery Assurance,To Do,23/Jun/26 12:28 AM
Conduct Assurance Reviews,SS-291,10309,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to conduct assurance reviews.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30046,,,,,,,,,,,,,,PM-PER-ASS,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to conduct assurance reviews.,0|i000db:,,"Assurance review notes, accepted evidence and tracked corrective actions.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,Accepted work records or documented evidence gaps and corrective actions.,Medium,Includes the executable item: Verify completion evidence and milestone readiness.,,,,,,,,,,,,PM-PER-ASS-02,,,,10282,SS-264,Delivery Assurance,To Do,23/Jun/26 12:28 AM
Establish Improvement System,SS-292,10310,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish improvement system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30047,,,,,,,,,,,,,,PM-PER-IMP,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish improvement system.,0|i000dj:,,"Retrospective procedure, configured log and reviewed example improvement.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented retrospective method and configured improvement log.,Low,Includes the executable item: Define retrospective process and configure improvement log.,,,,,,,,,,,,PM-PER-IMP-01,,,,10283,SS-265,Continuous Improvement,To Do,23/Jun/26 12:28 AM
Operate Continuous Improvement,SS-293,10311,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to operate continuous improvement.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30048,,,,,,,,,,,,,,PM-PER-IMP,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to operate continuous improvement.,0|i000dr:,,"Retrospective notes, improvement log and before-and-after evidence where applicable.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,Implemented and reviewed improvements to project delivery.,Medium,Includes the executable item: Conduct retrospectives and implement selected improvements.,,,,,,,,,,,,PM-PER-IMP-02,,,,10283,SS-265,Continuous Improvement,To Do,23/Jun/26 12:28 AM
Verify Project Completion,SS-294,10312,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to verify project completion.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30049,,,,,,,,,,,,,,PM-CLS-ACC,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to verify project completion.,0|i000dz:,,"Completion checklist, acceptance records and residual-work disposition.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A verified completion record and resolved or accepted residual-work list.,Medium,Includes the executable item: Verify deliverables and resolve residual work.,,,,,,,,,,,,PM-CLS-ACC-01,,,,10284,SS-266,Completion and Acceptance,To Do,23/Jun/26 12:28 AM
Approve Project Closure,SS-295,10313,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to approve project closure.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30050,,,,,,,,,,,,,,PM-CLS-ACC,Execution pattern: Milestone. This work package closes when its child item is accepted.,,,Deliver the controlled work required to approve project closure.,0|i000e7:,,Approved final acceptance record and referenced closure evidence.,Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A formal final project acceptance record.,Low,Includes the executable item: Record final project acceptance.,,,,,,,,,,,,PM-CLS-ACC-02,,,,10284,SS-266,Completion and Acceptance,To Do,23/Jun/26 12:28 AM
Produce Two-Page Project Closure Report,SS-296,10314,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to produce two-page project closure report.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30051,,,,,,,,,,,,,,PM-CLS-REC,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to produce two-page project closure report.,0|i000ef:,,Final two-page report and documented review approval.,Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A reviewed and finalised two-page project closure report.,Low,"Includes the executable item: Draft, review and finalise the two-page project closure report.",,,,,,,,,,,,PM-CLS-REC-01,,,,10285,SS-267,Two-Page Project Closure Report,To Do,23/Jun/26 12:28 AM
Define decision criteria and configure decision register,SS-297,10315,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Define when a formal decision record is required and configure the Jira fields and records used to control those decisions.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Decision criteria are unambiguous, required fields are available, statuses are usable and one example record has been reviewed.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30052,,,,,,,,,,,,,,PM-DEC-CTL-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Define when a formal decision record is required and configure the Jira fields and records used to control those decisions.,0|i000en:,,"Decision-control procedure, configured Jira fields and reviewed example decision record.","Approved WBS method, current Jira configuration and anticipated classes of project decision.",A documented decision-control procedure and configured decision register.,Low,"Decision thresholds, statuses, option recording, evidence requirements, rationale, outcomes and links to affected work.",,,,,,,,,,,,PM-DEC-CTL-01-01,,,,10286,SS-268,Establish Decision-Control System,To Do,23/Jun/26 12:28 AM
"Assess, record and implement significant decisions",SS-298,10316,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Maintain decision control throughout the programme by progressing qualifying decisions to a recorded outcome.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every qualifying decision is decided or explicitly deferred, and affected work reflects the recorded outcome.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30053,,,,,,,,,,,,,,PM-DEC-CTL-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Maintain decision control throughout the programme by progressing qualifying decisions to a recorded outcome.,0|i000ev:,,"Updated decision register, linked evidence and corresponding WBS or task updates.","Decision candidates, supporting evidence, constraints and affected WBS items.","Current decision records with explicit outcomes, rationale and implementation actions.",Medium,"Decision identification, evidence review, option comparison, outcome recording and updates to affected work.",,,,,,,,,,,,PM-DEC-CTL-02-01,,,,10287,SS-269,Operate Decision Control,To Do,23/Jun/26 12:28 AM
Define gate rules and configure gate register,SS-299,10317,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Define the rules, evidence and records required to operate project decision gates.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Gate readiness, approval, rejection and deferral rules are explicit and one example gate record has been reviewed.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30054,,,,,,,,,,,,,,PM-DEC-GAT-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Define the rules, evidence and records required to operate project decision gates.",0|i000f3:,,"Gate-control procedure, configured Jira fields and reviewed example gate record.","Programme WBS, dependency structure, decision-control method and identified gate candidates.",A documented gate-control procedure and configured gate register.,Low,"Gate identifiers, entry criteria, required evidence, review procedure, statuses, outcomes and unlocked-work references.",,,,,,,,,,,,PM-DEC-GAT-01-01,,,,10288,SS-270,Establish Gate-Control System,To Do,23/Jun/26 12:28 AM
"Prepare, review and resolve project decision gates",SS-300,10318,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Prepare and resolve project gates before gate-controlled work is allowed to progress.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,No gate-controlled work is marked ready unless the relevant gate outcome permits progression.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30055,,,,,,,,,,,,,,PM-DEC-GAT-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Prepare and resolve project gates before gate-controlled work is allowed to progress.,0|i000fb:,,"Gate review records, evidence references and updated readiness states.","Gate criteria, evidence from contributing work packages and current dependency status.","Approved, rejected or deferred gate records with corresponding updates to dependent work.",Medium,"Gate identification, evidence collection, readiness review, outcome recording and downstream readiness updates.",,,,,,,,,,,,PM-DEC-GAT-02-01,,,,10289,SS-271,Operate Decision Gates,To Do,23/Jun/26 12:28 AM
"Configure Jira fields, views and WBS rules",SS-301,10319,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Configure Jira so that the WBS can be represented, controlled and reviewed consistently.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All required work types and fields are available, hierarchy imports correctly and the operating rules are recorded.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30056,,,,,,,,,,,,,,PM-PLN-WBS-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Configure Jira so that the WBS can be represented, controlled and reviewed consistently.",0|i000fj:,,"Jira configuration, successful import evidence and WBS operating guidance.","Approved hierarchy model, required control fields and the existing Jira space.",A functioning Jira WBS environment with documented operating rules.,Low,"Work types, hierarchy, field contexts, screens, layouts, views, import mappings and WBS naming rules.",,,,,,,,,,,,PM-PLN-WBS-01-01,,,,10290,SS-272,Establish WBS Method and Environment,To Do,23/Jun/26 12:28 AM
"Decompose, review and maintain the total project scope",SS-302,10320,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Keep the master WBS complete, non-duplicative and aligned with the evolving programme scope.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All approved scope is represented once, parent-child relationships are valid and obsolete work is controlled.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30057,,,,,,,,,,,,,,PM-PLN-WBS-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,"Keep the master WBS complete, non-duplicative and aligned with the evolving programme scope.",0|i000fr:,,"Updated Jira hierarchy, change records and periodic WBS review notes.","Programme objectives, approved decisions, emerging technical understanding and current WBS.",An up-to-date master WBS covering the complete programme.,Medium,"Scope decomposition, parent-child relationships, acceptance criteria, ownership boundaries and controlled updates.",,,,,,,,,,,,PM-PLN-WBS-02-01,,,,10291,SS-273,Develop and Maintain Master WBS,To Do,23/Jun/26 12:28 AM
"Define calendars, estimates, milestones and dependencies",SS-303,10321,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Create the initial schedule baseline from the approved WBS.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The schedule covers approved executable work, contains no unresolved logical breaks and fits the available programme window.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30058,,,,,,,,,,,,,,PM-PLN-SCH-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Create the initial schedule baseline from the approved WBS.,0|i000fz:,,"Baseline schedule, dependency review and recorded scheduling assumptions.","Approved WBS, studentship duration, availability constraints and known decision gates.",An integrated baseline schedule with milestones and dependency logic.,Medium,"Working calendar, task estimates, milestones, dependencies, sequencing assumptions and initial target dates.",,,,,,,,,,,,PM-PLN-SCH-01-01,,,,10292,SS-274,Establish Schedule Baseline,To Do,23/Jun/26 12:28 AM
"Update progress, forecast dates and approved baseline changes",SS-304,10322,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Maintain a current forecast and incorporate approved changes without losing baseline traceability.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Forecast dates reflect current evidence and approved baseline changes are distinguishable from ordinary forecast movement.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30059,,,,,,,,,,,,,,PM-PLN-SCH-02,Execution pattern: Recurring. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Maintain a current forecast and incorporate approved changes without losing baseline traceability.,0|i000g7:,,"Updated schedule, variance notes and approved change records.","Current task status, actual progress, approved changes and updated dependencies.",A current schedule forecast and traceable record of approved baseline changes.,Medium,"Progress updates, remaining-duration forecasts, dependency shifts, milestone forecasts and approved baseline changes.",,,,,,,,,,,,PM-PLN-SCH-02-01,,,,10293,SS-275,Maintain Schedule and Forecast,To Do,23/Jun/26 12:28 AM
Define planning horizon and refinement criteria,SS-305,10323,Task,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Define when provisional work must be refined into executable tasks.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The method states how far ahead work is detailed, what information is mandatory and how readiness is judged.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Ready,,,,{},,,,,Activities outside the stated scope and implementation work owned by other WBS items.,30060,,,,,,,,,,,,,,PM-PLN-RWP-01,Execution pattern: Setup. GitHub is not required unless repository artefacts are later added to the acceptance evidence.,,,Define when provisional work must be refined into executable tasks.,0|i000gf:,,Rolling-wave planning rules and one reviewed refinement example.,"Programme duration, uncertainty profile, WBS method and decision-gate structure.",A documented rolling-wave planning method.,Low,"Planning horizon, refinement triggers, minimum task definition and readiness criteria.",,,,,,,,,,,,PM-PLN-RWP-01-01,,,,10294,SS-276,Establish Planning Cadence,To Do,23/Jun/26 12:28 AM
