arrival_utc,authority,catalogue_inundation_distance_m,catalogue_water_height_m,comparison_role,data_status,distance_to_corridor_m,eligibility,eligibility_reason,inside_h400_corridor,latitude,longitude,name,observation_id,quantity,raw_file,source_detail,source_url,water_depth_m
,NOAA/NCEI and NDBC,,,open-ocean target outside Kamaishi corridor,RAW_OBSERVED_WAVEFORM_AVAILABLE,544641.4251283993,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,38.71,148.67,"D21418 BPR, NE Tokyo, Japan",NOAA_NCEI_DART_21418,Deep ocean gauge bottom-pressure residual waveform,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/ncei_dart21418_20110301to20110320_meter.txt,,https://www.ngdc.noaa.gov/hazard/data/DART/20110311_honshu/dart21418_20110301to20110320_meter.txt,
,NOAA/NCEI hazards event catalogue,680,21.39,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12057.245688571315,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.312349,141.885132,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_21841,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,116,21.330000000000002,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,10876.96317814113,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.316472,141.944333,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24239,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,454,21.28,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,1970.9857479276018,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.225528,141.920556,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_20649,"Water height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,21.240000000000002,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,10879.659755876484,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.316500000000005,141.94436100000001,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24234,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,620,21.17,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12022.328570433654,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.312269,141.885978,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24233,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,285,20.89,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,11158.125551498253,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.311082999999996,141.909528,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_21837,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,24,20.73,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,10851.048365740473,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.316361,141.945389,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22394,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,350,20.66,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,11387.502705725346,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.309722,141.897778,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24224,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,248.87,20.55,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,1536.3666710203297,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.21125,141.887556,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24220,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,40,20.25,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,11372.75752388437,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.307933,141.892378,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24217,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,20.12,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,1552.746314006731,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.211400000000005,141.887528,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22368,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,70,20.02,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,0.0,PROXY,Point is geographically in the delivery corridor but the observed run-up/inundation quantity is not represented by the offshore h400 output.,True,39.161833,141.894472,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24106,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,PARI/MLIT NOWPHAS,,,priority Kamaishi offshore validation target; outside frozen h400 corridor,OFFICIAL_LOCATION_AND_REPORT_PRESERVED_RAW_TIME_SERIES_NOT_OBTAINED,12273.092741550476,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.25861111111111,142.09694444444446,NOWPHAS 802G South Iwate/Kamaishi offshore GPS buoy,PARI_NOWPHAS_802G_KAMAISHI_OFFSHORE,GPS-buoy offshore tsunami waveform and reported crests,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/pari_nowphas_tohoku_report.pdf,"PARI PDF table 3.1 lists station 802G, Iwate South/Kamaishi offshore, 39 deg 15 min 31 sec N, 142 deg 05 min 49 sec E.",https://www.pari.go.jp/en/2011/12/20111213142341.html,204
